row_id,participant_id,block_id,trial_index,winner_model_name,choice,correct_side,is_choice_correct,reaction_time_ms,H,prev_observed_belief_L,psi_t,abs_prev_belief_L,abs_psi_t,psi_shrinkage_abs,is_change_point
263,P02,3,37,cont_asymptote,1,1,1,443,0.281,10.567203,0.939450874218922,10.567203,0.939450874218922,9.627752125781077,0
264,P02,3,38,cont_asymptote,1,1,1,408,0.281,14.028288,0.9395049359991283,14.028288,0.9395049359991283,13.088783064000872,0
265,P02,3,39,cont_asymptote,1,1,1,337,0.241,12.908801,1.147197831806043,12.908801,1.147197831806043,11.761603168193957,0
266,P02,3,40,cont_asymptote,1,1,1,324,0.241,2.67434,0.9723448378122823,2.67434,0.9723448378122823,1.7019951621877176,0
297,P02,4,31,cont_asymptote,-1,1,0,527,0.581,7.816935,-0.3266118653251402,7.816935,0.3266118653251402,7.49032313467486,1
298,P02,4,32,cont_asymptote,1,1,1,440,0.581,-1.64893,0.22039547202078766,1.64893,0.22039547202078766,1.4285345279792123,0
299,P02,4,33,cont_asymptote,1,1,1,382,0.581,6.454258,-0.32583425872057514,6.454258,0.32583425872057514,6.128423741279425,0
300,P02,4,34,cont_asymptote,1,1,1,440,0.581,6.413942,-0.3257913180681413,6.413942,0.3257913180681413,6.088150681931858,0
301,P02,4,35,cont_asymptote,1,1,1,427,0.581,14.035801,-0.3268793030375825,14.035801,0.3268793030375825,13.708921696962417,0
302,P02,4,36,cont_asymptote,1,1,1,379,0.581,9.597408,-0.3268346521213559,9.597408,0.3268346521213559,9.270573347878644,0
303,P02,4,37,cont_asymptote,1,1,1,348,0.581,9.356941,-0.32682237006707915,9.356941,0.32682237006707915,9.030118629932922,0
304,P02,4,38,cont_asymptote,1,1,1,411,0.581,5.043145,-0.32261431955640596,5.043145,0.32261431955640596,4.720530680443594,0
305,P02,4,39,cont_asymptote,1,1,1,331,0.581,8.415171,-0.3267324831877403,8.415171,0.3267324831877403,8.08843851681226,0
306,P02,4,40,cont_asymptote,1,1,1,348,0.581,12.460396,-0.3268772567981628,12.460396,0.3268772567981628,12.133518743201837,0
337,P03,1,31,cont_asymptote,-1,0,0,491,0.031,8.002013,3.4318776694962363,8.002013,3.4318776694962363,4.5701353305037635,1
338,P03,1,32,cont_asymptote,-1,0,0,445,0.031,-1.824836,-1.6489891387685938,1.824836,1.6489891387685938,0.17584686123140614,0
339,P03,1,33,cont_asymptote,-1,0,0,481,0.031,-13.921201,-3.442249313606114,13.921201,3.442249313606114,10.478951686393886,0
340,P03,1,34,cont_asymptote,-1,0,0,518,0.031,-7.628452,-3.427203059464015,7.628452,3.427203059464015,4.201248940535985,0
341,P03,1,35,cont_asymptote,-1,0,0,447,0.031,-13.870307,-3.442247846812556,13.870307,3.442247846812556,10.428059153187444,0
342,P03,1,36,cont_asymptote,-1,0,0,470,0.031,-17.927757,-3.442276896205064,17.927757,3.442276896205064,14.485480103794936,0
343,P03,1,37,cont_asymptote,-1,0,0,443,0.031,-8.188493,-3.43363929027227,8.188493,3.43363929027227,4.75485370972773,0
344,P03,1,38,cont_asymptote,-1,0,0,396,0.031,-14.031711,-3.4422522528160826,14.031711,3.4422522528160826,10.589458747183917,0
345,P03,1,39,cont_asymptote,-1,0,0,561,0.031,-11.398709,-3.4419274261438617,11.398709,3.4419274261438617,7.956781573856139,0
346,P03,1,40,cont_asymptote,-1,0,0,357,0.031,-6.978052,-3.4135874372513437,6.978052,3.4135874372513437,3.564464562748656,0
377,P03,2,31,cont_asymptote,-1,0,0,356,0.511,-13.448091,0.04400697359516267,13.448091,0.04400697359516267,13.404084026404837,1
378,P03,2,32,cont_asymptote,1,1,1,421,0.511,-3.751123,0.041986375706889796,3.751123,0.041986375706889796,3.7091366242931105,1
379,P03,2,33,cont_asymptote,1,1,1,432,0.511,10.341089,-0.04400425887981996,10.341089,0.04400425887981996,10.29708474112018,0
380,P03,2,34,cont_asymptote,1,1,1,395,0.511,5.907576,-0.043768382831367525,5.907576,0.043768382831367525,5.863807617168632,0
381,P03,2,35,cont_asymptote,-1,0,0,380,0.511,8.331482,-0.04398590386598933,8.331482,0.04398590386598933,8.28749609613401,1
382,P03,2,36,cont_asymptote,-1,0,0,424,0.511,-14.917948,0.04400707149334951,14.917948,0.04400707149334951,14.873940928506652,0
383,P03,2,37,cont_asymptote,-1,0,0,397,0.511,-6.48195,0.043872529306427065,6.48195,0.043872529306427065,6.438077470693573,0
384,P03,2,38,cont_asymptote,-1,0,0,332,0.511,-5.284175,0.043562872729946064,5.284175,0.043562872729946064,5.2406121272700545,0
385,P03,2,39,cont_asymptote,-1,0,0,379,0.511,-13.948713,0.04400702366626777,13.948713,0.04400702366626777,13.904705976333732,0
386,P03,2,40,cont_asymptote,-1,0,0,296,0.511,-7.379832,0.04395222231415202,7.379832,0.04395222231415202,7.335879777685848,0
417,P03,3,31,cont_asymptote,1,1,1,401,0.001,-1.785031,-1.7792509397992653,1.785031,1.7792509397992653,0.005780060200734738,1
