row_id,participant_id,block_id,trial_index,split,winner_model_name,choice,correct_side,predicted_decision,predicted_choice_binary,predicted_timeout,choice_match_excluding_timeout,reaction_time_ms,predicted_rt_ms,belief_L,predicted_belief,H,LLR
150,P01,4,31,TEST,cont_asymptote,1,1,0,,1,,1271.0,5000.000000000005,0.229502,0.979004424141866,0.311,0.732603
151,P01,4,32,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,954.0,3308.9999999997467,-2.306741,-2.07919681136504,0.301,-2.37486
152,P01,4,33,TEST,cont_asymptote,1,1,1,1.0,0,1.0,999.0,4892.999999999969,1.041725,1.5790214467589667,0.331,1.539819
153,P01,4,34,TEST,cont_asymptote,1,1,1,1.0,0,1.0,714.0,1560.9999999999388,5.484904,2.7551640313144024,0.331,5.197843
154,P01,4,35,TEST,cont_asymptote,1,1,1,1.0,0,1.0,578.0,1981.9999999998925,4.341982,2.428126820803741,0.331,3.732736
155,P01,4,36,TEST,cont_asymptote,-1,1,0,,1,,1046.0,5000.000000000005,-0.396738,-1.0970942071886134,0.371,-0.994625
156,P01,4,37,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,954.0,2416.999999999845,-3.332034,-2.1703332299720435,0.371,-3.2152
157,P01,4,38,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,685.0,1806.9999999999118,-4.798994,-2.4387358469574503,0.371,-4.229171
158,P01,4,39,TEST,cont_asymptote,-1,0,0,,1,,595.0,5000.000000000005,-1.454456,-1.0213482410281502,0.351,-0.850482
159,P01,4,40,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,638.0,1500.9999999999454,-5.728612,-2.726355573587963,0.351,-5.353956
160,P02,1,1,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,383.0,943.0000000000007,11.135816,5.1943400669123845,0.061,11.051806
161,P02,1,15,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,379.0,729.0000000000006,10.279085,5.130070770966978,0.061,10.363132
162,P02,1,16,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,424.0,692.0000000000005,10.909356,5.18905218542521,0.061,10.9934
163,P02,1,17,TRAIN,cont_asymptote,1,0,1,1.0,0,1.0,517.0,2929.9999999997885,1.838197,3.6265018180293214,0.051,1.922244
164,P02,1,18,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,412.0,698.0000000000005,13.025981,5.542039026191512,0.051,13.086939
165,P02,1,19,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,456.0,2458.9999999998404,2.316083,4.065936209057084,0.041,2.400132
166,P02,1,20,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,381.0,1848.9999999999072,4.248536,4.652302710575776,0.041,4.317477
167,P02,1,21,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,428.0,4225.999999999746,1.22674,3.7394092862640522,0.031,1.308419
168,P02,1,22,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,463.0,1064.9999999999934,9.046331,5.675533136096054,0.031,9.092244
169,P02,1,23,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,398.0,1376.999999999959,-10.457131,-5.807203088637147,0.031,-10.373102
170,P02,1,24,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,381.0,1446.9999999999513,-4.47785,-4.9865819340194655,0.031,-4.561895
171,P02,1,25,TRAIN,cont_asymptote,1,0,1,1.0,0,1.0,351.0,2326.999999999855,5.136007,4.129589443726383,0.081,5.053847
172,P02,1,26,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,366.0,1053.9999999999948,-11.991555,-4.98562400596385,0.081,-11.908489
173,P02,1,27,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,509.0,1819.9999999999104,6.611376,4.2688417916651415,0.091,6.527328
174,P02,1,28,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,415.0,675.0000000000005,11.428691,4.835569913333658,0.091,11.512514
175,P02,1,29,TRAIN,cont_asymptote,1,1,1,1.0,0,1.0,408.0,1307.9999999999668,5.330252,4.082145526152348,0.091,5.414299
176,P02,1,30,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,408.0,945.0000000000007,-13.236088,-4.9686139419577975,0.091,-13.152849
177,P02,1,31,TEST,cont_asymptote,1,1,1,1.0,0,1.0,363.0,976.0000000000008,12.849041,4.938765709779014,0.091,12.764991
178,P02,1,32,TEST,cont_asymptote,-1,1,1,1.0,0,0.0,368.0,3553.9999999997194,1.77542,1.341557064150847,0.521,1.859469
179,P02,1,33,TEST,cont_asymptote,1,1,1,1.0,0,1.0,392.0,592.0000000000005,15.148829,3.371693640501021,0.521,15.208509
180,P02,1,34,TEST,cont_asymptote,1,1,1,1.0,0,1.0,404.0,777.0000000000006,11.222455,3.076421084168618,0.521,11.306505
181,P02,1,35,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,391.0,725.0000000000006,-12.0433,-3.1322953349519134,0.521,-11.959252
182,P02,1,36,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,379.0,733.0000000000006,-11.973034,-3.140381568473336,0.521,-12.057083
183,P02,1,37,TEST,cont_asymptote,1,1,1,1.0,0,1.0,412.0,915.0000000000007,9.328974,2.876379235740107,0.521,9.244925
184,P02,1,38,TEST,cont_asymptote,-1,0,-1,0.0,0,0.0,368.0,1708.9999999999227,-4.645879,-2.1803526733565213,0.521,-4.561845
185,P02,1,39,TEST,cont_asymptote,1,1,1,1.0,0,1.0,379.0,904.0000000000007,9.452979,2.889774230089209,0.521,9.37053
186,P02,1,40,TEST,cont_asymptote,1,1,1,1.0,0,1.0,410.0,1470.9999999999488,5.46618,2.3721671800084443,0.521,5.550216
187,P02,2,1,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,422.0,913.0000000000007,-15.625,-9.647069045337581,0.001,-15.625
188,P02,2,2,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,440.0,1045.9999999999957,-6.349392,-8.702677823650545,0.001,-6.07162
189,P02,2,3,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,426.0,597.0000000000005,-14.056086,-9.521412226915738,0.001,-13.779296
190,P02,2,4,TRAIN,cont_asymptote,-1,0,-1,0.0,0,0.0,506.0,949.0000000000007,-7.103784,-8.819700315674185,0.001,-6.826012
